,Num Align Hqmt,Mode Mt Base Call Read Length Align Hqmt,Avg Mt Align Edit Percent Identical
0,0.1665160716343099,0.23706614276358876,0.9441290300253598
1,0.25161449628736104,0.2318271119842829,0.9520222945549839
2,0.20664424805436168,0.2311722331368697,0.9278681937296085
3,0.2635618911275481,0.22789783889980356,0.9359817890630557
4,0.10540852750933893,0.1466928618205632,0.9177493189163415
5,0.08896034595330443,0.1466928618205632,0.9219473320938927
6,0.124859301937133,0.1466928618205632,0.9291576864881081
7,0.10962131017558818,0.1466928618205632,0.9321075429654679
8,0.11555337618370588,0.1466928618205632,0.931340614888287
9,0.014280573700248224,0.053700065487884745,0.73575742078377
10,0.01090877240526221,0.05239030779305828,0.7019545226454311
11,0.1485214568983473,0.23968565815324167,0.9471869370365313
12,0.14525177263897088,0.2429600523903078,0.9491578018445495
13,0.22053138924931656,0.23313686967910938,0.95046709745889
14,0.17795288129644898,0.23510150622134907,0.95161758570503
15,0.19895662224650196,0.2364112639161755,0.9374162464167406
16,0.10070380504840609,0.2337917485265226,0.9420295427847432
17,0.13055052925741076,0.17092337917485265,0.9488582596173627
18,0.2966716767557582,0.17092337917485265,0.9517694716867227
19,0.0,0.0,0.892795384204538
20,0.19908033809420075,0.1237721021611002,0.9470429337450277
21,0.1767973746822901,0.11984282907662083,0.9416371386219136
22,0.0,0.0,0.892795384204538
23,0.010049145650634679,0.053700065487884745,0.6130700771157813
24,0.0,0.0,0.892795384204538
25,0.0,0.0,0.892795384204538
26,0.0,0.0,0.892795384204538
27,0.01245138701067727,0.10674525212835625,0.8750972358673939
28,0.04635275120238856,0.10740013097576949,0.8995889465457476
29,0.01245138701067727,0.10674525212835625,0.8750972358673939
30,0.04635275120238856,0.10740013097576949,0.8995889465457476
31,0.1645029967158469,0.1578258022265881,0.9522910750643594
32,0.00018197894163553483,0.07203667321545515,0.8970991700104016
33,0.14872288670390849,0.0320890635232482,0.9442676500162461
34,0.16057395203548216,0.034053700065487885,0.9487273300559287
35,0.1669027918015921,0.030779305828421744,0.9458174638117232
36,0.13622257420728331,0.028159790438768827,0.9468152970332246
37,0.16652537940968534,0.028159790438768827,0.9498980056793824
38,0.11745431030846265,0.031434184675834975,0.948437593126294
39,0.16771567085104866,0.0275049115913556,0.9496969009491916
40,0.00015274298052031775,0.07203667321545515,0.8812778417578784
41,0.09739823215513006,0.1466928618205632,0.9357445393144368
42,0.1056709351766547,0.14734774066797643,0.92617322307821
43,0.10850822553765975,0.14734774066797643,0.9256941093232998
44,0.1956788235162854,0.12508185985592665,0.9501158370936329
45,0.14270227749927042,0.15651604453176163,0.9495092544705424
46,6.861501078061149e-06,0.0275049115913556,0.2786953955476259
47,4.3257289405168115e-06,0.0275049115913556,0.27374871906284426
48,1.0769573431217716e-05,0.0275049115913556,0.2944732728737405
49,5.936690063192038e-06,0.0275049115913556,0.29654315196096337
50,0.00012705710039766276,0.0275049115913556,0.29501679397531766
51,0.0,0.0,0.892795384204538
52,0.030164620537212573,0.2547478716437459,0.8847867924564579
53,0.0,0.0,0.892795384204538
54,0.0,0.0,0.892795384204538
